ranking_id,rank,country_or_item_ja,country_or_item_en,country_or_item_zh_tw,country_or_item_zh_cn,value,unit,source_year,source_name,source_url,note_ja,note_en,note_zh_tw,note_zh_cn
world_rice_consumption_per_capita,3,,,,,,kg/person/year,,FAO Food Balance Sheets,,,,,
world_rice_consumption_per_capita,4,,,,,,kg/person/year,,FAO Food Balance Sheets,,,,,
world_rice_consumption_per_capita,5,,,,,,kg/person/year,,FAO Food Balance Sheets,,,,,
world_rice_consumption_per_capita,6,,,,,,kg/person/year,,FAO Food Balance Sheets,,,,,
world_rice_consumption_per_capita,7,,,,,,kg/person/year,,FAO Food Balance Sheets,,,,,
world_rice_consumption_per_capita,8,,,,,,kg/person/year,,FAO Food Balance Sheets,,,,,
world_rice_consumption_per_capita,9,,,,,,kg/person/year,,FAO Food Balance Sheets,,,,,
world_rice_consumption_per_capita,10,,,,,,kg/person/year,,FAO Food Balance Sheets,,,,,
world_rice_exports,1,,,,,,"1,000 tonnes",,USDA PSD Online / FAOSTAT Trade,,,,,
world_rice_exports,2,,,,,,"1,000 tonnes",,USDA PSD Online / FAOSTAT Trade,,,,,
world_rice_exports,3,,,,,,"1,000 tonnes",,USDA PSD Online / FAOSTAT Trade,,,,,
world_rice_exports,4,,,,,,"1,000 tonnes",,USDA PSD Online / FAOSTAT Trade,,,,,
world_rice_exports,5,,,,,,"1,000 tonnes",,USDA PSD Online / FAOSTAT Trade,,,,,
world_rice_exports,6,,,,,,"1,000 tonnes",,USDA PSD Online / FAOSTAT Trade,,,,,
world_rice_exports,7,,,,,,"1,000 tonnes",,USDA PSD Online / FAOSTAT Trade,,,,,
world_rice_exports,8,,,,,,"1,000 tonnes",,USDA PSD Online / FAOSTAT Trade,,,,,
world_rice_exports,9,,,,,,"1,000 tonnes",,USDA PSD Online / FAOSTAT Trade,,,,,
world_rice_exports,10,,,,,,"1,000 tonnes",,USDA PSD Online / FAOSTAT Trade,,,,,
world_rice_imports,1,,,,,,"1,000 tonnes",,USDA PSD Online / FAOSTAT Trade,,,,,
world_rice_imports,2,,,,,,"1,000 tonnes",,USDA PSD Online / FAOSTAT Trade,,,,,
world_rice_imports,3,,,,,,"1,000 tonnes",,USDA PSD Online / FAOSTAT Trade,,,,,
world_rice_imports,4,,,,,,"1,000 tonnes",,USDA PSD Online / FAOSTAT Trade,,,,,
world_rice_imports,5,,,,,,"1,000 tonnes",,USDA PSD Online / FAOSTAT Trade,,,,,
world_rice_imports,6,,,,,,"1,000 tonnes",,USDA PSD Online / FAOSTAT Trade,,,,,
world_rice_imports,7,,,,,,"1,000 tonnes",,USDA PSD Online / FAOSTAT Trade,,,,,
world_rice_imports,8,,,,,,"1,000 tonnes",,USDA PSD Online / FAOSTAT Trade,,,,,
world_rice_imports,9,,,,,,"1,000 tonnes",,USDA PSD Online / FAOSTAT Trade,,,,,
world_rice_imports,10,,,,,,"1,000 tonnes",,USDA PSD Online / FAOSTAT Trade,,,,,
world_rice_area_harvested,1,,,,,,ha,,FAOSTAT,,,,,
world_rice_area_harvested,2,,,,,,ha,,FAOSTAT,,,,,
world_rice_area_harvested,3,,,,,,ha,,FAOSTAT,,,,,
world_rice_area_harvested,4,,,,,,ha,,FAOSTAT,,,,,
world_rice_area_harvested,5,,,,,,ha,,FAOSTAT,,,,,
world_rice_area_harvested,6,,,,,,ha,,FAOSTAT,,,,,
world_rice_area_harvested,7,,,,,,ha,,FAOSTAT,,,,,
world_rice_area_harvested,8,,,,,,ha,,FAOSTAT,,,,,
world_rice_area_harvested,9,,,,,,ha,,FAOSTAT,,,,,
world_rice_area_harvested,10,,,,,,ha,,FAOSTAT,,,,,
world_rice_yield,1,,,,,,tonnes/ha or kg/ha,,FAOSTAT / Our World in Data,,,,,
world_rice_yield,2,,,,,,tonnes/ha or kg/ha,,FAOSTAT / Our World in Data,,,,,
world_rice_yield,3,,,,,,tonnes/ha or kg/ha,,FAOSTAT / Our World in Data,,,,,
world_rice_yield,4,,,,,,tonnes/ha or kg/ha,,FAOSTAT / Our World in Data,,,,,
world_rice_yield,5,,,,,,tonnes/ha or kg/ha,,FAOSTAT / Our World in Data,,,,,
world_rice_yield,6,,,,,,tonnes/ha or kg/ha,,FAOSTAT / Our World in Data,,,,,
world_rice_yield,7,,,,,,tonnes/ha or kg/ha,,FAOSTAT / Our World in Data,,,,,
world_rice_yield,8,,,,,,tonnes/ha or kg/ha,,FAOSTAT / Our World in Data,,,,,
world_rice_yield,9,,,,,,tonnes/ha or kg/ha,,FAOSTAT / Our World in Data,,,,,
world_rice_yield,10,,,,,,tonnes/ha or kg/ha,,FAOSTAT / Our World in Data,,,,,
world_rice_self_sufficiency,1,,,,,,%,,FAOSTAT / FAO Food Balance Sheets / USDA PSD Online,,,,,
world_rice_self_sufficiency,2,,,,,,%,,FAOSTAT / FAO Food Balance Sheets / USDA PSD Online,,,,,
world_rice_self_sufficiency,3,,,,,,%,,FAOSTAT / FAO Food Balance Sheets / USDA PSD Online,,,,,
world_rice_self_sufficiency,4,,,,,,%,,FAOSTAT / FAO Food Balance Sheets / USDA PSD Online,,,,,
world_rice_self_sufficiency,5,,,,,,%,,FAOSTAT / FAO Food Balance Sheets / USDA PSD Online,,,,,
world_rice_self_sufficiency,6,,,,,,%,,FAOSTAT / FAO Food Balance Sheets / USDA PSD Online,,,,,
world_rice_self_sufficiency,7,,,,,,%,,FAOSTAT / FAO Food Balance Sheets / USDA PSD Online,,,,,
world_rice_self_sufficiency,8,,,,,,%,,FAOSTAT / FAO Food Balance Sheets / USDA PSD Online,,,,,
world_rice_self_sufficiency,9,,,,,,%,,FAOSTAT / FAO Food Balance Sheets / USDA PSD Online,,,,,
world_rice_self_sufficiency,10,,,,,,%,,FAOSTAT / FAO Food Balance Sheets / USDA PSD Online,,,,,
world_rice_dependency,1,,,,,,%,,FAO Food Balance Sheets,,,,,
world_rice_dependency,2,,,,,,%,,FAO Food Balance Sheets,,,,,
world_rice_dependency,3,,,,,,%,,FAO Food Balance Sheets,,,,,
world_rice_dependency,4,,,,,,%,,FAO Food Balance Sheets,,,,,
world_rice_dependency,5,,,,,,%,,FAO Food Balance Sheets,,,,,
world_rice_dependency,6,,,,,,%,,FAO Food Balance Sheets,,,,,
world_rice_dependency,7,,,,,,%,,FAO Food Balance Sheets,,,,,
world_rice_dependency,8,,,,,,%,,FAO Food Balance Sheets,,,,,
world_rice_dependency,9,,,,,,%,,FAO Food Balance Sheets,,,,,
world_rice_dependency,10,,,,,,%,,FAO Food Balance Sheets,,,,,
world_rice_share_in_staples,1,,,,,,%,,FAO Food Balance Sheets,,,,,
world_rice_share_in_staples,2,,,,,,%,,FAO Food Balance Sheets,,,,,
world_rice_share_in_staples,3,,,,,,%,,FAO Food Balance Sheets,,,,,
world_rice_share_in_staples,4,,,,,,%,,FAO Food Balance Sheets,,,,,
world_rice_share_in_staples,5,,,,,,%,,FAO Food Balance Sheets,,,,,
world_rice_share_in_staples,6,,,,,,%,,FAO Food Balance Sheets,,,,,
world_rice_share_in_staples,7,,,,,,%,,FAO Food Balance Sheets,,,,,
world_rice_share_in_staples,8,,,,,,%,,FAO Food Balance Sheets,,,,,
world_rice_share_in_staples,9,,,,,,%,,FAO Food Balance Sheets,,,,,
world_rice_share_in_staples,10,,,,,,%,,FAO Food Balance Sheets,,,,,
world_rice_export_price,1,,,,,,USD/tonne,,FAO Rice Price Update,,,,,
world_rice_export_price,2,,,,,,USD/tonne,,FAO Rice Price Update,,,,,
world_rice_export_price,3,,,,,,USD/tonne,,FAO Rice Price Update,,,,,
world_rice_export_price,4,,,,,,USD/tonne,,FAO Rice Price Update,,,,,
world_rice_export_price,5,,,,,,USD/tonne,,FAO Rice Price Update,,,,,
world_rice_export_price,6,,,,,,USD/tonne,,FAO Rice Price Update,,,,,
world_rice_export_price,7,,,,,,USD/tonne,,FAO Rice Price Update,,,,,
world_rice_export_price,8,,,,,,USD/tonne,,FAO Rice Price Update,,,,,
world_rice_export_price,9,,,,,,USD/tonne,,FAO Rice Price Update,,,,,
world_rice_export_price,10,,,,,,USD/tonne,,FAO Rice Price Update,,,,,
